Fecha,IdProducto,Pais,Canal,SegmentoCliente,Cantidad,PrecioUnitario,DescuentoPorc
2025-11-26,3,Mexico,Online,Consumer,6,252.93,0.15
2025-08-03,2,Estados Unidos,Online,Consumer,11,1469.79,0.0
2025-06-19,1,Estados Unidos,Tienda,Enterprise,8,849.84,0.03
2025-11-29,1,Espana,Tienda,Consumer,20,848.29,0.05
2025-03-31,2,Japon,Online,Consumer,7,1106.29,0.0
2025-01-02,1,Japon,Online,Consumer,7,1032.15,0.15
2025-05-25,2,India,Tienda,Consumer,19,1468.97,0.1
2025-03-09,1,Chile,Online,Consumer,9,972.81,0.0
2025-01-12,1,Espana,Tienda,Enterprise,9,988.96,0.0
2025-05-05,4,India,Online,Consumer,3,596.46,0.15
2025-01-17,1,Peru,Online,Consumer,13,1093.83,0.2
2025-05-11,2,India,Tienda,Enterprise,10,1208.71,0.0
2025-07-24,3,Espana,Online,Consumer,14,364.95,0.15
2025-06-11,4,Peru,Online,Consumer,17,816.24,0.15
2025-05-03,2,Japon,Online,Consumer,10,1081.97,0.2
2025-02-21,3,Estados Unidos,Online,Consumer,9,222.99,0.0
2025-03-04,1,India,Online,Consumer,4,1012.7,0.0
2025-01-05,3,Mexico,Online,Consumer,2,257.28,0.2
2025-08-31,1,Mexico,Tienda,Enterprise,8,892.15,0.1
2025-05-28,2,Peru,Online,Consumer,1,1299.09,0.0
2025-12-11,3,Estados Unidos,Tienda,Consumer,4,376.89,0.1
2025-04-17,4,Alemania,Online,SMB,7,649.29,0.05
2025-03-03,1,India,Online,Consumer,20,815.44,0.2
2025-02-03,4,Alemania,Tienda,Consumer,14,510.03,0.1
2025-07-01,1,Mexico,Tienda,SMB,12,1035.39,0.03
2025-02-25,3,Alemania,Online,Consumer,14,300.66,0.0
2025-02-04,1,India,Tienda,Consumer,10,806.15,0.1
2025-02-22,4,Estados Unidos,Online,Consumer,2,610.71,0.0
2025-05-11,1,Estados Unidos,Online,Enterprise,16,808.47,0.1
2025-02-12,4,Peru,Online,Enterprise,17,758.63,0.15
2025-08-23,1,India,Tienda,Consumer,7,1088.08,0.1
2025-08-01,4,Japon,Online,Consumer,5,538.1,0.05
2025-11-19,2,Chile,Tienda,SMB,6,1431.68,0.05
2025-04-08,2,Alemania,Online,Consumer,6,1414.88,0.0
2025-12-28,1,Mexico,Tienda,Consumer,13,800.67,0.1
2025-08-22,2,Espana,Online,SMB,6,1445.96,0.15
2025-08-10,3,Chile,Online,Consumer,12,240.57,0.0
2025-05-28,1,Chile,Tienda,Consumer,4,858.59,0.05
2025-01-29,1,Alemania,Tienda,SMB,9,876.28,0.05
2025-11-04,1,Peru,Online,Consumer,1,869.66,0.1
2025-08-15,2,Espana,Online,Consumer,6,1105.26,0.1
2025-10-23,3,Espana,Online,Consumer,20,322.6,0.0
2025-04-12,1,Espana,Tienda,Consumer,19,868.02,0.05
2025-03-05,3,Alemania,Online,SMB,9,337.24,0.2
2025-11-30,2,India,Online,Consumer,6,1287.48,0.05
2025-10-01,2,Estados Unidos,Online,Consumer,12,1304.84,0.0
2025-10-27,3,Estados Unidos,Online,Consumer,2,355.92,0.1
2025-06-27,4,Mexico,Online,Consumer,5,502.23,0.0
2025-02-25,4,Alemania,Online,Enterprise,20,664.66,0.05
2025-04-03,4,Estados Unidos,Tienda,SMB,16,725.96,0.0
2025-03-18,2,Estados Unidos,Online,Consumer,17,1058.9,0.2
2025-04-16,2,Peru,Online,Consumer,19,1314.78,0.1
2025-04-20,2,Japon,Online,Consumer,8,1435.63,0.15
2025-05-20,1,Espana,Tienda,SMB,7,968.16,0.1
2025-11-01,3,Alemania,Online,Enterprise,18,238.94,0.2
2025-02-19,2,Mexico,Tienda,SMB,4,1211.81,0.1
2025-02-25,2,Estados Unidos,Tienda,Consumer,4,1269.38,0.03
2025-05-04,3,Estados Unidos,Tienda,Enterprise,3,312.12,0.05
2025-09-27,2,India,Online,SMB,19,1203.82,0.05
2025-12-08,1,Chile,Tienda,Consumer,8,982.59,0.03
2025-08-28,1,Chile,Tienda,Consumer,8,1059.95,0.03
2025-10-08,2,Japon,Tienda,SMB,11,1174.89,0.0
2025-07-15,2,India,Tienda,Consumer,20,1013.27,0.0
2025-11-16,3,Peru,Online,Enterprise,12,390.68,0.2
2025-09-16,2,Chile,Tienda,Enterprise,19,1303.5,0.05
2025-10-21,4,Estados Unidos,Tienda,Consumer,15,602.17,0.0
2025-03-09,3,Espana,Online,Consumer,8,318.78,0.05
2025-05-15,3,Japon,Online,Consumer,14,268.1,0.15
2025-11-25,4,India,Online,Consumer,20,673.42,0.15
2025-09-25,4,Mexico,Online,SMB,8,545.19,0.2
2025-08-09,2,Japon,Tienda,Consumer,20,1235.12,0.0
2025-05-28,1,Japon,Tienda,Consumer,1,993.52,0.05
2025-01-02,2,Espana,Online,Consumer,4,1097.41,0.05
2025-08-11,1,Estados Unidos,Online,Consumer,17,926.0,0.2
2025-09-11,2,Espana,Online,Consumer,11,1086.93,0.0
2025-04-24,4,Chile,Tienda,SMB,18,764.66,0.0
2025-11-13,3,Espana,Online,SMB,15,397.58,0.1
2025-01-22,4,India,Online,Consumer,3,621.62,0.05
2025-01-29,4,Alemania,Tienda,Enterprise,10,669.71,0.03
2025-12-12,2,Alemania,Tienda,SMB,10,1022.39,0.05
2025-06-27,2,Peru,Tienda,Consumer,20,1401.29,0.1
2025-10-10,3,Alemania,Online,Consumer,6,335.91,0.1
2025-09-26,1,Estados Unidos,Online,Consumer,19,850.62,0.2
2025-12-18,2,India,Tienda,SMB,16,1013.99,0.03
2025-09-02,2,Chile,Tienda,Consumer,3,1192.36,0.1
2025-12-23,2,Alemania,Tienda,Consumer,4,1464.14,0.1
2025-02-02,2,Mexico,Online,Consumer,15,1277.64,0.15
2025-06-03,3,Mexico,Tienda,Consumer,20,263.06,0.1
2025-02-02,2,Mexico,Online,Consumer,1,1404.58,0.05
2025-09-24,1,Espana,Tienda,SMB,2,875.96,0.05
2025-08-04,4,Chile,Online,Enterprise,2,722.29,0.0
2025-03-11,4,Peru,Tienda,Consumer,20,682.17,0.1
2025-07-08,2,Espana,Tienda,Consumer,4,1060.03,0.03
2025-07-05,3,Estados Unidos,Tienda,SMB,16,344.86,0.05
2025-12-04,4,Alemania,Online,Enterprise,3,623.02,0.1
2025-12-10,2,Japon,Tienda,Enterprise,7,1079.3,0.03
2025-02-03,4,Mexico,Online,Enterprise,17,679.37,0.05
2025-07-20,4,Japon,Tienda,Enterprise,11,506.81,0.1
2025-05-31,1,Chile,Tienda,Enterprise,18,1066.37,0.05
2025-02-10,4,Japon,Online,Consumer,12,779.83,0.15
2025-12-30,1,Alemania,Online,Consumer,16,1043.8,0.2
2025-07-21,4,Japon,Online,SMB,13,802.03,0.15
2025-11-25,4,India,Online,SMB,15,547.22,0.0
2025-11-04,4,Chile,Tienda,SMB,7,668.91,0.1
2025-01-01,3,Peru,Online,Consumer,19,286.59,0.15
2025-11-24,3,Espana,Online,Consumer,16,328.81,0.0
2025-05-13,3,Japon,Online,Enterprise,6,291.01,0.15
2025-01-18,3,Alemania,Online,SMB,2,259.88,0.2
2025-08-06,1,Chile,Tienda,Consumer,11,1007.38,0.1
2025-05-11,3,Estados Unidos,Online,Consumer,11,279.59,0.15
2025-11-11,3,Chile,Online,SMB,5,202.38,0.15
2025-08-12,1,Mexico,Tienda,Consumer,13,942.71,0.03
2025-11-30,2,India,Online,Consumer,18,1024.16,0.0
2025-08-04,1,Estados Unidos,Tienda,Consumer,6,879.51,0.03
2025-05-21,4,Peru,Online,Enterprise,13,570.37,0.0
2025-09-28,2,Peru,Online,Consumer,3,1279.01,0.05
2025-10-13,4,Peru,Tienda,Consumer,8,666.22,0.03
2025-07-08,1,India,Tienda,SMB,12,844.18,0.1
2025-03-21,2,Estados Unidos,Online,Consumer,9,1116.62,0.2
2025-07-12,2,Chile,Online,Consumer,11,1401.93,0.15
2025-03-06,3,Alemania,Tienda,Consumer,14,274.31,0.03
2025-12-20,1,Alemania,Tienda,SMB,16,863.18,0.05
2025-12-03,3,Peru,Online,SMB,19,376.75,0.2
2025-04-23,1,Mexico,Tienda,Consumer,6,801.63,0.05
2025-09-19,1,Peru,Tienda,Consumer,1,947.4,0.05
2025-05-25,1,Chile,Tienda,Consumer,7,948.93,0.05
2025-05-06,4,Peru,Online,Enterprise,18,561.47,0.2
2025-02-11,1,Espana,Online,Consumer,3,1030.87,0.1
2025-06-21,3,Chile,Online,Consumer,7,275.6,0.05
2025-01-29,1,Estados Unidos,Online,Consumer,2,861.14,0.1
2025-11-18,3,Estados Unidos,Online,Enterprise,3,254.76,0.15
2025-10-06,4,Japon,Online,Enterprise,7,748.45,0.1
2025-05-14,1,Alemania,Tienda,SMB,6,1056.25,0.1
2025-07-24,4,Peru,Online,Consumer,10,547.77,0.2
2025-02-20,2,Chile,Online,Consumer,19,1312.72,0.05
2025-04-21,3,Peru,Tienda,Enterprise,11,365.03,0.05
2025-10-30,4,Alemania,Online,SMB,2,774.5,0.15
2025-03-01,2,Mexico,Online,Enterprise,5,1403.85,0.05
2025-09-24,4,Espana,Tienda,Consumer,2,762.45,0.03
2025-07-01,1,Japon,Tienda,Consumer,4,1050.97,0.0
2025-08-16,3,Espana,Tienda,SMB,5,285.15,0.1
2025-04-07,2,Espana,Online,Consumer,16,1305.88,0.1
2025-07-29,3,Espana,Online,Consumer,15,321.77,0.05
2025-12-01,2,Chile,Online,Consumer,12,1100.74,0.2
2025-11-27,4,Espana,Online,Consumer,3,686.68,0.2
2025-12-01,2,Mexico,Tienda,Consumer,16,1030.63,0.03
2025-03-27,3,Peru,Online,Consumer,20,330.34,0.0
2025-07-17,4,Peru,Tienda,Consumer,1,736.73,0.05
2025-08-31,2,Estados Unidos,Online,Consumer,5,1284.42,0.2
2025-10-14,2,Peru,Tienda,Consumer,16,1118.19,0.0
2025-08-22,3,Estados Unidos,Tienda,Consumer,18,359.08,0.03
2025-06-16,2,Espana,Online,Consumer,19,1130.81,0.2
2025-06-02,3,Peru,Tienda,Enterprise,6,332.38,0.0
2025-11-09,1,Espana,Tienda,Consumer,12,1000.28,0.03
2025-07-21,4,Japon,Tienda,Consumer,14,650.52,0.03
2025-04-04,4,Estados Unidos,Tienda,Consumer,18,770.27,0.1
2025-09-19,2,Mexico,Online,Consumer,16,1243.45,0.05
2025-10-31,3,Alemania,Tienda,Enterprise,16,289.62,0.05
2025-05-01,4,Mexico,Online,SMB,7,685.74,0.05
2025-10-24,1,Alemania,Online,Consumer,3,960.73,0.1
2025-06-14,2,Japon,Tienda,Consumer,14,1485.39,0.05
2025-03-17,3,Peru,Online,Enterprise,12,339.24,0.15
2025-04-08,1,Espana,Tienda,Consumer,7,963.91,0.0
2025-05-06,4,Alemania,Online,SMB,13,850.34,0.1
2025-03-20,1,Peru,Online,Consumer,15,890.2,0.0
2025-05-05,3,India,Tienda,Enterprise,8,281.11,0.05
2025-03-14,3,India,Online,SMB,18,313.98,0.0
2025-06-17,3,Estados Unidos,Tienda,Consumer,5,230.48,0.05
2025-03-25,1,Estados Unidos,Tienda,Consumer,16,1019.69,0.03
2025-07-25,3,Espana,Online,SMB,9,221.98,0.2
2025-06-23,1,Espana,Online,Consumer,16,917.97,0.15
2025-05-06,4,Mexico,Online,Consumer,9,706.2,0.2
2025-05-23,2,Espana,Online,Consumer,10,1005.81,0.0
2025-11-30,1,Chile,Online,SMB,6,934.41,0.05
2025-05-16,2,Japon,Online,Consumer,2,1194.84,0.0
2025-10-17,3,Chile,Tienda,Enterprise,2,387.98,0.1
2025-03-19,4,Chile,Tienda,Consumer,12,650.06,0.1
2025-01-16,4,Peru,Online,Enterprise,9,649.47,0.05
2025-01-01,3,Chile,Tienda,SMB,16,266.73,0.0
2025-12-14,4,India,Tienda,Consumer,3,835.59,0.03
2025-07-06,4,Espana,Tienda,Consumer,12,855.07,0.1
2025-01-26,2,Mexico,Tienda,Consumer,18,1145.58,0.0
2025-10-17,3,Estados Unidos,Online,Enterprise,11,383.9,0.2
2025-02-28,4,Chile,Tienda,SMB,11,749.74,0.03
2025-07-04,4,Chile,Online,Enterprise,20,702.62,0.05
2025-12-17,2,India,Online,Consumer,6,1043.06,0.0
2025-03-11,3,Japon,Online,SMB,2,342.64,0.05
2025-07-21,1,Estados Unidos,Online,Consumer,16,940.29,0.15
2025-12-18,2,Estados Unidos,Online,Consumer,17,1244.77,0.15
2025-01-21,1,Japon,Online,SMB,16,1089.52,0.1
2025-10-10,1,Mexico,Online,Consumer,2,998.35,0.15
2025-04-05,3,Peru,Online,SMB,10,267.64,0.0
2025-03-16,3,Mexico,Tienda,Enterprise,13,239.13,0.03
2025-11-18,3,Alemania,Online,Consumer,7,352.76,0.05
2025-06-15,1,Alemania,Tienda,Enterprise,19,846.2,0.1
2025-05-08,1,Alemania,Tienda,Consumer,16,925.76,0.03
2025-01-02,3,Mexico,Online,Consumer,3,335.01,0.05
2025-05-20,2,Mexico,Online,Consumer,12,1357.44,0.0
2025-03-23,2,Espana,Online,SMB,10,1164.16,0.1
2025-12-13,3,Chile,Online,Consumer,20,317.96,0.2
2025-05-09,2,Chile,Tienda,SMB,14,1025.73,0.05
2025-11-25,4,Mexico,Tienda,Enterprise,17,661.45,0.0
2025-12-13,2,Alemania,Tienda,Consumer,13,1286.38,0.0
2025-06-23,2,India,Tienda,Enterprise,12,1102.26,0.03
2025-04-23,4,Japon,Online,Consumer,11,864.01,0.15
2025-05-16,4,Chile,Tienda,Consumer,10,739.84,0.1
2025-01-05,1,Chile,Tienda,Consumer,6,942.69,0.03
2025-06-17,2,Estados Unidos,Online,Consumer,2,1351.1,0.05
2025-11-26,1,Espana,Tienda,SMB,17,840.63,0.0
2025-05-31,2,Peru,Tienda,Consumer,18,1490.82,0.1
2025-08-04,3,Chile,Tienda,Enterprise,10,252.62,0.05
2025-11-29,1,Chile,Online,Enterprise,2,1086.46,0.15
2025-09-29,1,Alemania,Online,Consumer,9,913.18,0.05
2025-10-15,1,Alemania,Online,Consumer,19,804.03,0.15
2025-09-17,2,Chile,Online,Consumer,8,1299.52,0.2
2025-01-25,2,India,Online,Consumer,8,1396.96,0.15
2025-11-04,4,Estados Unidos,Tienda,Consumer,1,853.95,0.1
2025-09-27,3,Chile,Tienda,Consumer,13,214.71,0.03
2025-03-05,4,Alemania,Tienda,SMB,20,518.2,0.05
2025-07-25,1,India,Online,Consumer,16,894.66,0.2
2025-10-22,2,India,Online,Enterprise,12,1031.91,0.15
2025-12-15,3,Japon,Online,Consumer,8,318.91,0.15
2025-08-30,3,Mexico,Tienda,Consumer,16,348.5,0.1
2025-01-04,2,Espana,Tienda,Enterprise,5,1275.75,0.03
2025-05-23,2,India,Online,SMB,6,1044.52,0.1
2025-06-16,2,Japon,Tienda,Consumer,15,1177.96,0.1
2025-05-22,3,Mexico,Tienda,SMB,3,314.96,0.0
2025-09-12,2,Chile,Online,Consumer,14,1486.65,0.0
2025-01-06,3,Estados Unidos,Online,Consumer,17,213.41,0.15
2025-05-30,4,Peru,Online,Consumer,16,603.51,0.15
2025-03-14,2,Espana,Online,Consumer,18,1279.97,0.0
2025-09-08,3,India,Tienda,Consumer,17,391.51,0.03
2025-03-11,3,Mexico,Tienda,Consumer,1,269.51,0.0
2025-06-27,1,India,Online,SMB,6,1089.87,0.15
2025-03-28,1,Alemania,Tienda,Enterprise,9,922.3,0.03
2025-08-27,4,Alemania,Tienda,SMB,16,518.43,0.0
2025-08-02,1,India,Online,SMB,7,856.32,0.05
2025-04-18,3,Chile,Online,SMB,12,302.97,0.0
2025-05-24,3,Chile,Online,Consumer,4,397.8,0.15
2025-01-13,4,Estados Unidos,Tienda,Consumer,3,692.85,0.1
2025-03-16,3,Mexico,Tienda,Consumer,9,226.82,0.0
2025-10-20,4,India,Tienda,Consumer,7,791.57,0.03
2025-10-17,3,Peru,Tienda,Consumer,20,253.33,0.1
2025-09-10,4,Alemania,Tienda,SMB,18,849.25,0.0
2025-10-02,2,Peru,Tienda,SMB,12,1313.63,0.1
2025-08-15,3,Espana,Online,SMB,3,388.95,0.15
2025-09-02,4,Estados Unidos,Tienda,Consumer,13,570.35,0.1
2025-07-03,2,India,Tienda,Consumer,19,1027.38,0.05
2025-05-08,2,Estados Unidos,Tienda,Enterprise,19,1375.93,0.05
2025-12-04,1,Japon,Tienda,SMB,13,1045.29,0.0
2025-11-09,2,Peru,Online,Consumer,7,1471.87,0.15
2025-01-27,2,Alemania,Tienda,Consumer,15,1058.4,0.05
2025-11-18,3,Japon,Online,Enterprise,10,389.47,0.05
2025-11-19,3,Peru,Online,SMB,19,233.64,0.0
2025-01-17,1,Alemania,Tienda,Consumer,10,909.62,0.1
2025-04-16,3,Japon,Tienda,Consumer,8,316.76,0.1
2025-08-28,4,Japon,Online,Enterprise,9,848.51,0.05
2025-07-27,4,India,Tienda,Enterprise,9,571.55,0.05
2025-02-14,1,India,Online,SMB,16,1096.08,0.1
2025-11-26,3,Chile,Tienda,Consumer,19,342.58,0.05
2025-07-13,4,Chile,Online,SMB,6,546.16,0.15
2025-11-18,1,India,Online,SMB,20,1015.84,0.1
2025-06-27,1,India,Online,SMB,20,864.2,0.0
2025-11-15,2,Chile,Online,Consumer,8,1211.36,0.15
2025-02-12,3,Chile,Online,Enterprise,11,328.8,0.0
2025-09-11,2,Japon,Tienda,Consumer,7,1454.05,0.0
2025-05-02,1,Peru,Online,Consumer,17,1060.19,0.05
2025-04-18,4,Japon,Online,Consumer,3,527.67,0.2
2025-09-16,1,Mexico,Tienda,Consumer,13,978.96,0.1
2025-01-26,2,India,Online,Consumer,13,1159.24,0.05
2025-03-15,1,Espana,Online,Consumer,3,900.85,0.0
2025-03-14,4,Espana,Online,SMB,14,643.73,0.0
2025-07-15,2,Estados Unidos,Online,Consumer,16,1175.38,0.0
2025-08-22,4,Espana,Tienda,Consumer,19,517.73,0.0
2025-01-01,1,Mexico,Tienda,Consumer,8,1087.83,0.03
2025-08-30,1,Alemania,Tienda,Enterprise,6,960.18,0.1
2025-09-05,3,Peru,Online,SMB,18,203.03,0.05
2025-07-30,4,Japon,Online,SMB,1,655.83,0.15
2025-08-14,2,India,Online,Consumer,5,1011.05,0.1
2025-04-02,4,Chile,Tienda,Enterprise,3,609.82,0.03
2025-03-01,3,Peru,Online,Enterprise,15,321.52,0.0
2025-09-05,1,Mexico,Tienda,Consumer,13,1074.83,0.03
2025-08-12,2,Japon,Tienda,Consumer,6,1452.91,0.1
2025-10-01,2,Japon,Online,Enterprise,4,1333.87,0.15
2025-12-17,2,Estados Unidos,Online,Consumer,20,1444.99,0.0
2025-09-05,4,Peru,Tienda,SMB,16,771.98,0.03
2025-07-17,3,Peru,Online,SMB,10,396.59,0.0
2025-12-23,4,Japon,Tienda,Consumer,7,523.39,0.05
2025-01-09,4,Mexico,Online,Consumer,3,759.38,0.15
2025-01-07,4,Peru,Tienda,Consumer,11,759.83,0.1
2025-05-09,1,Peru,Online,Consumer,12,893.14,0.15
2025-09-26,4,Peru,Tienda,Enterprise,16,712.12,0.05
2025-12-18,3,Mexico,Tienda,Consumer,20,263.16,0.03
2025-09-02,2,Japon,Online,Consumer,6,1117.74,0.1
2025-08-01,2,Estados Unidos,Online,Consumer,9,1202.37,0.1
2025-11-11,2,Mexico,Tienda,Consumer,17,1211.63,0.03
2025-05-18,2,Chile,Tienda,Consumer,9,1118.47,0.0
2025-02-25,3,Espana,Online,Enterprise,1,239.49,0.0
2025-12-11,3,Chile,Online,SMB,9,358.97,0.0
2025-04-21,3,Alemania,Tienda,Consumer,17,237.51,0.03
2025-06-04,2,Mexico,Tienda,SMB,20,1164.96,0.05
2025-12-15,4,India,Tienda,SMB,14,556.14,0.0
2025-08-04,1,Estados Unidos,Tienda,Consumer,16,1098.01,0.05
2025-10-14,4,Mexico,Online,Enterprise,7,611.78,0.05
2025-01-19,3,Mexico,Online,Enterprise,14,383.99,0.2
2025-02-26,3,Japon,Tienda,Enterprise,20,323.98,0.03
2025-03-15,1,Chile,Tienda,Consumer,10,904.25,0.03
2025-08-13,1,Peru,Online,Consumer,13,1098.76,0.1
2025-09-27,2,India,Online,Enterprise,15,1451.04,0.15
2025-09-19,1,Estados Unidos,Online,Consumer,18,1016.15,0.2
2025-06-04,4,Mexico,Online,Consumer,7,875.78,0.0
2025-07-23,2,Japon,Online,Consumer,12,1390.19,0.15
2025-07-28,1,Estados Unidos,Online,Consumer,12,951.03,0.05
2025-01-15,2,Japon,Online,SMB,2,1492.53,0.0
2025-05-20,2,Alemania,Online,SMB,15,1381.84,0.05
2025-01-20,4,Japon,Online,Enterprise,11,882.51,0.05
2025-07-12,1,Mexico,Tienda,Consumer,15,1052.24,0.05
2025-07-13,2,Estados Unidos,Online,Consumer,19,1472.56,0.15
2025-01-29,1,Japon,Tienda,SMB,15,1021.27,0.1
2025-01-30,1,Japon,Tienda,Consumer,13,926.45,0.03
2025-04-10,2,India,Online,SMB,1,1357.18,0.15
2025-07-11,1,Estados Unidos,Tienda,SMB,2,1061.62,0.1
2025-06-02,4,Japon,Online,SMB,13,671.93,0.1
2025-08-14,2,Alemania,Tienda,Consumer,12,1264.73,0.03
2025-07-20,2,Espana,Online,SMB,11,1043.42,0.15
2025-11-05,4,Japon,Tienda,SMB,15,742.13,0.03
2025-10-31,2,Espana,Tienda,SMB,4,1303.13,0.0
2025-11-15,2,Japon,Tienda,SMB,5,1424.84,0.03
2025-02-25,3,Chile,Tienda,Consumer,13,390.09,0.1
2025-06-18,3,Chile,Tienda,SMB,8,336.08,0.05
2025-05-10,2,Espana,Online,Consumer,19,1367.02,0.1
2025-11-28,2,India,Online,SMB,19,1301.24,0.2
2025-04-29,4,Espana,Tienda,SMB,13,657.69,0.05
2025-08-20,3,Peru,Online,Consumer,14,375.8,0.0
2025-09-25,2,Japon,Online,Enterprise,8,1050.49,0.0
2025-11-02,3,Espana,Tienda,SMB,5,370.76,0.05
2025-10-23,2,Japon,Online,Consumer,11,1374.07,0.1
2025-01-15,1,India,Tienda,SMB,6,858.37,0.0
2025-03-19,1,Espana,Online,Enterprise,10,1007.52,0.0
2025-02-03,4,Japon,Online,Consumer,19,804.23,0.05
2025-05-05,4,Peru,Online,Consumer,3,705.12,0.05
2025-11-15,1,Alemania,Tienda,Consumer,16,846.13,0.1
2025-04-06,3,Alemania,Tienda,Consumer,3,299.11,0.0
2025-07-12,1,Peru,Tienda,Consumer,16,811.56,0.0
2025-09-07,1,Chile,Tienda,SMB,14,932.11,0.03
2025-04-02,4,Espana,Online,Consumer,2,729.28,0.1
2025-07-15,2,India,Online,Consumer,15,1045.59,0.0
2025-11-27,2,Chile,Online,Consumer,2,1340.98,0.1
2025-03-11,2,India,Tienda,Consumer,19,1464.8,0.03
2025-05-21,3,India,Tienda,Enterprise,11,343.94,0.0
2025-03-28,1,Chile,Online,SMB,7,980.59,0.1
2025-02-14,1,Peru,Tienda,SMB,11,831.34,0.1
2025-05-03,3,India,Tienda,Consumer,13,351.0,0.05
2025-11-13,1,Mexico,Tienda,Consumer,13,888.17,0.0
2025-09-22,1,Chile,Tienda,Consumer,14,832.05,0.1
2025-10-03,2,Peru,Online,Consumer,17,1171.5,0.05
2025-07-13,2,Mexico,Tienda,Consumer,10,1135.84,0.05
2025-05-25,4,Chile,Tienda,SMB,11,655.0,0.05
2025-11-23,3,Espana,Tienda,Consumer,13,254.79,0.03
2025-05-04,4,Alemania,Tienda,Consumer,14,646.49,0.03
2025-10-11,4,Peru,Online,Enterprise,12,781.38,0.0
2025-10-16,1,Estados Unidos,Tienda,Consumer,7,964.87,0.0
2025-03-12,2,Mexico,Online,SMB,19,1333.23,0.0
2025-12-16,1,India,Tienda,Consumer,8,857.98,0.0
2025-03-01,3,Japon,Online,Consumer,2,329.54,0.05
2025-12-17,3,Espana,Online,Consumer,20,299.07,0.15
2025-08-27,1,Estados Unidos,Online,Enterprise,1,855.06,0.05
2025-03-29,4,Estados Unidos,Tienda,SMB,12,522.39,0.03
2025-04-13,3,Peru,Online,SMB,12,387.62,0.0
2025-08-07,3,India,Online,Consumer,14,267.26,0.15
2025-10-19,2,Mexico,Online,Consumer,12,1418.59,0.1
2025-11-13,4,Chile,Online,Consumer,16,740.2,0.15
2025-08-01,4,Estados Unidos,Online,SMB,13,621.67,0.05
2025-02-12,2,Alemania,Tienda,Consumer,15,1267.08,0.0
2025-05-18,2,Espana,Online,Consumer,17,1179.91,0.15
2025-09-14,3,Estados Unidos,Tienda,Enterprise,14,361.54,0.03
2025-11-08,4,Chile,Tienda,SMB,12,680.68,0.1
2025-01-01,1,Alemania,Online,Consumer,1,841.15,0.0
2025-12-30,1,Peru,Tienda,SMB,4,1013.45,0.05
2025-06-04,3,Espana,Online,SMB,15,295.16,0.15
2025-01-26,4,Peru,Online,SMB,17,672.15,0.15
2025-02-01,1,India,Tienda,SMB,15,949.75,0.0
2025-01-02,3,Alemania,Tienda,Consumer,3,297.4,0.05
2025-12-26,2,Chile,Online,Consumer,19,1063.63,0.2
2025-07-24,4,Alemania,Online,Consumer,3,624.17,0.15
2025-11-09,3,Japon,Tienda,Consumer,4,231.11,0.0
2025-10-09,3,Mexico,Online,Consumer,2,213.27,0.0
2025-06-28,4,India,Online,Enterprise,6,834.31,0.2
2025-08-04,1,Alemania,Online,Consumer,17,883.37,0.05
2025-03-29,3,Peru,Tienda,Consumer,8,335.64,0.05
2025-12-08,4,Peru,Tienda,Consumer,7,501.27,0.03
2025-09-12,1,Estados Unidos,Online,Enterprise,12,1060.87,0.1
2025-02-28,1,Japon,Tienda,Enterprise,4,818.33,0.0
2025-09-15,3,Japon,Tienda,Consumer,14,351.19,0.0
2025-04-07,1,Chile,Tienda,SMB,12,921.41,0.03
2025-03-09,3,Chile,Online,Consumer,5,280.95,0.05
